problem	문제
place	장소
person	사람
part	부분
paper	종이
piece	조각
pet	애완동물
plan	계획
plant	식물
poor	가난한
poem	시
hand	손
habit	습관
history	역사
hot	뜨거운
different	다른
bird	새
back	뒤
bottle	병
activity	활동
autumn	가을
advertisement	광고
always	언제나
area	지역
art	미술
clothes	옷
clean	깨끗한
course	강좌
cook	요리사
culture	문화
fire	불
face	얼굴
famous	유명한
fast	빨리
fun	재미
fly	날다
forest	숲
earth	지구
each	각각
early	일찍
example	예
enjoy	즐기다
easy	쉬운
end	끝
group	집단
gene	유전자
life	인생
letter	편지
learn	배우다
leaf	잎
lot	많이
listen	듣다
light	빛
line	선
job	직업
just	단지
important	중요한
information	정보
island	섬
name	이름
newspaper	신문
nature	자연
neighbor	이웃
make	만들다
machine	기계
movie	영화
mind	마음
office	사무실
often	자주
trip	여행
restaurant	식당
remember	기억하다
rock	바위
story	이야기
same	같은
spring	봄
space	공간
science	과학
sound	소리
soldier	군인
send	보내다
sometimes	때때로
special	특별한
start	시작
store	가게
state	상태
summer	여름
street	거리
subject	주제
vacation	휴가
volunteer	자원봉사자
visit	방문
village	마을
vegetable	채소
work	일
winter	겨울
watch	시계
war	전쟁
win	이기다
wear	입다
