price	가격
president	대통령
pollution	오염
physical	신체의
palace	궁전
post	우편
pretty	예쁜
prize	상품
project	계획
health	건강
half	절반의
holiday	공휴일
hobby	취미
heavy	무거운
hole	구멍
human	인간
however	그러나
die	죽다
decide	결정하다
dark	더움
delicious	맛있는
diary	일기
desert	사막
difficult	어려운
dish	접시
dirty	더러운
busy	바쁜
brain	뇌
bear	곰
bill	청구서
buy	사다
age	나이
accident	사고
advice	조언
add	더하다
arm	팔다
choose	선택하다
cartoon	만화
chance	기회
catch	잡다
close	닫다
clerk	사무원
contest	경쟁
collage	대학
company	회사
collect	모으다
cover	덮개
fact	사실
foreign	외국의
follow	따르다
factory	공장
foot	발
event	사건
environment	환경
goal	목표
garage	차고
lake	호수
judge	판단하다
insect	곤충
image	이미지
miss	놓치다
meal	식사
mark	표시
map	지도
magic	마술
maybe	아마
medicine	약
meaning	의미
modern	현대의
order	순서
opinion	의견
toy	장난감
tired	피곤한
type	유형
traffic	교통
rule	규칙
result	결과
receive	바다
race	경주
rainbow	무지개
sick	아픈
sell	팔다
sad	슬픈
seed	씨
safety	안전
seat	좌석
secret	비밀
shape	모양
sense	느낌
subway	지하철
smart	영리한
skill	기술
smell	냄새
spaceship	우주선
voice	목소리
upset	속상한
useful	유용한
weight	무게
wall	벽
wash	씻다
